Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otras Tecnologias,Mbps (Media de bajada),Accesos por cada 100 hogares,Periodo,Accesos Totales,Accesos Totales en el Periodo Anterior,Nuevos Accesos,Nuevos Acesos Cada 100 Hogares (NACH),Accesos por cada 100 hogares (nacional),Coeficiente de Desigualdad de Penetración por Hogar (CoDePH),Porcentaje Fibra Óptica (PReFO)
2014,1,Buenos Aires,1567685,1000879,120960,16528,33824,"3,73","54,57",2014 - Q1,2739876,0,0,"0,00","36,19","0,30","4,41%"
2014,1,Tierra Del Fuego,21618,2837,648,1,2934,"3,45","63,97",2014 - Q1,28038,0,0,"0,00","36,19","0,30","2,31%"
2014,1,Santiago Del Estero,32567,3598,19,915,34,"2,95","16,31",2014 - Q1,37133,0,0,"0,00","36,19","0,30","0,05%"
2014,1,Jujuy,29765,4030,23,0,9,"2,69","18,42",2014 - Q1,33827,0,0,"0,00","36,19","0,30","0,07%"
2014,1,La Pampa,15826,31305,513,5848,701,"2,65","48,43",2014 - Q1,54193,0,0,"0,00","36,19","0,30","0,95%"
2014,1,Catamarca,24126,46,17,0,43,"2,80","24,25",2014 - Q1,24232,0,0,"0,00","36,19","0,30","0,07%"
2014,1,Santa Fe,322662,174296,3059,5951,644,"3,15","47,85",2014 - Q1,506612,0,0,"0,00","36,19","0,30","0,60%"
2014,1,Chaco,52971,9497,30,0,58,"3,26","20,72",2014 - Q1,62556,0,0,"0,00","36,19","0,30","0,05%"
2014,1,Santa Cruz,18927,100,381,4092,3264,"3,32","28,94",2014 - Q1,26764,0,0,"0,00","36,19","0,30","1,42%"
2014,1,San Luis,11306,428,354,21,448,"3,50","9,35",2014 - Q1,12557,0,0,"0,00","36,19","0,30","2,82%"
2014,1,Capital Federal,445569,820161,17767,1866,14555,"4,02","112,25",2014 - Q1,1299918,0,0,"0,00","36,19","0,30","1,37%"
2014,1,Chubut,51066,539,866,10776,6974,"3,18","41,24",2014 - Q1,70221,0,0,"0,00","36,19","0,30","1,23%"
2014,1,Corrientes,52565,8279,31,1306,55,"3,22","22,32",2014 - Q1,62236,0,0,"0,00","36,19","0,30","0,05%"
2014,1,Salta,73131,17538,45,8,568,"3,30","28,70",2014 - Q1,91290,0,0,"0,00","36,19","0,30","0,05%"
2014,1,Río Negro,64886,24156,876,3576,1572,"3,35","44,91",2014 - Q1,95066,0,0,"0,00","36,19","0,30","0,92%"
2014,1,Córdoba,336841,225769,347,3585,368,"3,39","52,52",2014 - Q1,566910,0,0,"0,00","36,19","0,30","0,06%"
2014,1,Neuquén,47790,28161,997,10381,3051,"3,55","49,79",2014 - Q1,90380,0,0,"0,00","36,19","0,30","1,10%"
2014,1,Misiones,56597,17191,4,150,8,"3,40","23,14",2014 - Q1,73950,0,0,"0,00","36,19","0,30","0,01%"
2014,1,Entre Ríos,107883,21379,49,4887,133,"3,17","34,37",2014 - Q1,134331,0,0,"0,00","36,19","0,30","0,04%"
2014,1,Formosa,20774,4548,0,0,100,"2,57","17,42",2014 - Q1,25422,0,0,"0,00","36,19","0,30","0,00%"
2014,1,Mendoza,148970,12076,2480,37,2282,"3,50","31,91",2014 - Q1,165845,0,0,"0,00","36,19","0,30","1,50%"
2014,1,San Juan,48161,434,722,808,1173,"3,47","27,60",2014 - Q1,51298,0,0,"0,00","36,19","0,30","1,41%"
2014,1,Tucumán,129717,83,121,13,98,"3,21","33,42",2014 - Q1,130032,0,0,"0,00","36,19","0,30","0,09%"
2014,1,La Rioja,15663,0,14,0,34,"2,96","16,29",2014 - Q1,15711,0,0,"0,00","36,19","0,30","0,09%"
2014,2,Corrientes,52883,8680,31,1309,55,"3,37","22,58",2014 - Q2,62958,62236,722,"1,16","36,64","0,30","0,05%"
2014,2,Tierra Del Fuego,21618,3008,648,1,2934,"3,47","64,36",2014 - Q2,28209,28038,171,"0,61","36,64","0,30","2,30%"
2014,2,Jujuy,30128,4161,23,40,9,"2,77","18,71",2014 - Q2,34361,33827,534,"1,58","36,64","0,30","0,07%"
2014,2,Formosa,20894,4628,0,0,78,"2,65","17,54",2014 - Q2,25600,25422,178,"0,70","36,64","0,30","0,00%"
2014,2,Río Negro,64920,24944,876,3657,1560,"3,43","45,33",2014 - Q2,95957,95066,891,"0,94","36,64","0,30","0,91%"
